               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.090473,0.030136,0.042135,0.20408,0.32063,0.25107,0.10987,0.057868,0.015001,0.032064,0.070278,0.0033025,0.0033025
1,0.061636,0.026494,0.024603,0.30848,0.48861,0.33823,0.13402,0.059808,0.0094065,0.017056,0.040245,0.006603,0.006603
2,0.05762,0.022331,0.014875,0.42842,0.59543,0.45267,0.1933,0.059022,0.010066,0.0085732,0.010179,0.0098704,0.0098704
3,0.052624,0.020817,0.011311,0.43079,0.59526,0.53695,0.25953,0.050616,0.010122,0.0092518,0.0098515,0.0098515,0.0098515
4,0.048433,0.020302,0.0097422,0.51864,0.68855,0.55762,0.29385,0.043429,0.010365,0.0085428,0.0098515,0.0098515,0.0098515
5,0.046825,0.020169,0.0083549,0.65476,0.59525,0.65728,0.36515,0.04184,0.010349,0.011045,0.009802,0.009802,0.009802
6,0.044254,0.019946,0.0081551,0.72847,0.64763,0.71751,0.38159,0.037533,0.0096904,0.0056887,0.0097525,0.0097525,0.0097525
7,0.043074,0.019209,0.007933,0.78272,0.58386,0.70608,0.38623,0.039791,0.010478,0.0052923,0.009703,0.009703,0.009703
8,0.042332,0.019569,0.0074758,0.69276,0.76878,0.73124,0.39182,0.038814,0.0096765,0.0057723,0.0096535,0.0096535,0.0096535
9,0.040353,0.019423,0.0067816,0.6757,0.60977,0.6217,0.3485,0.040004,0.010139,0.011339,0.009604,0.009604,0.009604
10,0.040038,0.018475,0.0063599,0.72645,0.71083,0.71444,0.4086,0.040923,0.0097471,0.010217,0.0095545,0.0095545,0.0095545
11,0.039422,0.018117,0.0055484,0.6163,0.68701,0.62765,0.37974,0.038168,0.010063,0.018569,0.009505,0.009505,0.009505
12,0.038917,0.018434,0.0060003,0.63926,0.63758,0.63153,0.37168,0.039372,0.0099048,0.012961,0.0094555,0.0094555,0.0094555
13,0.038898,0.017669,0.0054649,0.65982,0.7328,0.7115,0.43683,0.035609,0.0098353,0.012095,0.009406,0.009406,0.009406
14,0.037896,0.017485,0.0051438,0.64171,0.76445,0.7333,0.43449,0.035242,0.0089029,0.0080559,0.0093565,0.0093565,0.0093565
15,0.037121,0.017288,0.0047479,0.6498,0.69355,0.67335,0.39269,0.034618,0.0098205,0.012478,0.009307,0.009307,0.009307
