                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2823,                 2.6182,                 1.5131,                0.76892,                0.61273,                 0.6981,                0.50575,                0.93507,                 1.4587,                 1.2225,               0.070278,              0.0033025,              0.0033025
                      1,                 1.0968,                 1.4135,                 1.3355,                0.66356,                0.67493,                0.70006,                0.49512,                 1.0465,                 1.1654,                 1.3042,               0.040245,               0.006603,               0.006603
                      2,                 1.1305,                  1.338,                 1.3568,                0.50083,                0.56491,                0.53783,                0.31387,                 1.3319,                 1.6165,                 1.5092,               0.010179,              0.0098704,              0.0098704
                      3,                 1.2384,                 1.3929,                  1.417,                0.54232,                0.64498,                0.60591,                0.37666,                 1.3054,                 1.5526,                 1.4531,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.2396,                 1.3707,                  1.408,                0.70599,                0.55174,                0.68819,                0.40175,                 1.3152,                 1.4914,                 1.5406,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.242,                 1.3359,                  1.421,                0.76828,                0.55749,                0.67984,                0.43856,                 1.2536,                  1.599,                 1.5488,               0.009802,               0.009802,               0.009802
                      6,                 1.2246,                 1.3018,                 1.4226,                0.71847,                0.55238,                 0.6707,                 0.4214,                 1.3726,                 1.5071,                 1.6011,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.2167,                 1.2812,                 1.4377,                0.70026,                0.68065,                0.71359,                0.46959,                 1.1857,                 1.2518,                 1.4155,               0.009703,               0.009703,               0.009703
                      8,                  1.196,                  1.216,                 1.3675,                 0.8353,                0.54236,                0.68493,                0.45694,                 1.2499,                 1.4068,                 1.4185,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1563,                 1.1493,                 1.3724,                0.62681,                0.62609,                 0.6358,                0.42926,                 1.1848,                 1.4716,                 1.4144,               0.009604,               0.009604,               0.009604
                     10,                 1.1273,                 1.1049,                 1.3452,                0.67529,                0.64802,                0.71167,                0.47837,                 1.1477,                 1.3474,                 1.3812,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1274,                 1.0795,                 1.3353,                0.61249,                0.68802,                0.69012,                0.46532,                 1.1583,                 1.5977,                 1.3907,               0.009505,               0.009505,               0.009505
                     12,                 1.0979,                 1.0558,                 1.3207,                0.75469,                0.64662,                0.67685,                0.45833,                 1.1887,                 1.2244,                 1.4156,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.0662,                 1.0151,                 1.3161,                0.75147,                 0.6444,                0.66476,                0.42534,                 1.3516,                 1.4235,                 1.5696,               0.009406,               0.009406,               0.009406
                     14,                 1.0637,                 1.0022,                 1.3026,                0.71476,                0.63622,                0.70163,                0.47875,                 1.1577,                  1.283,                 1.4226,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.0831,                0.98245,                 1.3028,                0.88709,                0.67852,                0.76947,                0.50954,                   1.12,                 1.1114,                 1.4386,               0.009307,               0.009307,               0.009307
                     16,                 1.0357,                0.94699,                 1.2833,                0.63162,                0.61517,                0.63429,                0.42386,                 1.1599,                 1.3478,                 1.3923,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.0344,                0.92027,                 1.2768,                0.78302,                0.67411,                0.76899,                0.50007,                 1.1308,                 1.2384,                 1.4077,               0.009208,               0.009208,               0.009208
                     18,                 1.0062,                0.88926,                  1.256,                0.79808,                 0.7606,                0.79628,                0.54243,                 1.1114,                 1.0196,                 1.3047,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.0157,                  0.913,                 1.2681,                0.70646,                0.68106,                0.69035,                0.47862,                 1.0738,                 1.2045,                 1.3681,               0.009109,               0.009109,               0.009109
                     20,                 1.0014,                0.87814,                 1.2562,                0.78405,                0.67106,                0.73145,                0.50494,                 1.0601,                 1.0556,                 1.3148,              0.0090595,              0.0090595,              0.0090595
                     21,                0.97341,                0.84294,                  1.235,                0.69995,                0.69395,                0.70521,                0.49177,                 1.0678,                 1.2638,                 1.3035,                0.00901,                0.00901,                0.00901
                     22,                0.97299,                0.84879,                 1.2355,                0.71489,                0.74515,                0.71156,                0.48947,                 1.0087,                 1.1498,                 1.2952,              0.0089605,              0.0089605,              0.0089605
